source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
792,1789484859.2548113,46760.0867382,240,2,f00002008e6297150c0c87560000f000da087aaf
793,1789484859.2733235,46760.1052502,241,0,f10000008e635f0095a80a151577109b024c379a
794,1789484859.274034,46760.1059605,241,1,f100010062b4109ddb6302fe974418ca91608442
795,1789484859.274797,46760.1067237,241,2,f1000200ce3d54447f7ae97b0000f10091608442
796,1789484859.2933586,46760.1252855,242,0,f20000007663c4089bcc5061904c7a00b7574a0d
797,1789484859.294047,46760.1259741,242,1,f2000100163582b482fa066fe1821625a917e2b5
798,1789484859.294838,46760.1267648,242,2,f20002001fdf58462e7ee9020000f200a917e2b5
799,1789484859.3133385,46760.1452655,243,0,f3000000366c797e19e230f8bec2582c865da1de
800,1789484859.314062,46760.145989,243,1,f3000100940ba2c087cc8f8fcbae4588f3b09067
801,1789484859.3215516,46760.1534784,243,2,f30002008736512e1d3821e30000f300f3b09067
802,1789484859.3333457,46760.1652723,244,0,f4000000da6cdf045325ca20469910a6c5a50fb8
803,1789484859.3340504,46760.165977,244,1,f400010081e542d125efea2cae0e615d3851134f
804,1789484859.3348064,46760.1667334,244,2,f4000200e705bed6ce73e92b0000f4003851134f
805,1789484859.353363,46760.1852897,245,0,f5000000376c7f64362e6e567d29b51dc7a97852
806,1789484859.35404,46760.1859666,245,1,f5000100c02ad771b38d2a01a0654bcf89a5bc58
807,1789484859.3548095,46760.1867364,245,2,f5000200a5649134437e191f0000f50089a5bc58
808,1789484859.3733613,46760.2052882,246,0,f6000000d66c0b651f2c66e5f34e2e9ba33409c7
809,1789484859.3740528,46760.2059796,246,1,f60001005f82281d5efaefef429fdaabbf04e224
810,1789484859.3748324,46760.2067592,246,2,f6000200702fe210003b690c0000f600bf04e224
811,1789484859.3933563,46760.2252831,247,0,f7000000b66c6c040f10902377b342be372070c1
812,1789484859.3940358,46760.2259625,247,1,f700010025cc042c6262de059b70f5a4883e83e3
813,1789484859.3948092,46760.2267362,247,2,f7000200e824f08e771b31460000f700883e83e3
814,1789484859.4133298,46760.2452567,248,0,f8000000a6646c64d05d5e54bcc4f27dc7092492
815,1789484859.4140358,46760.2459626,248,1,f8000100da98545d42cdced3e592c42ec01e74ce
816,1789484859.4148185,46760.2467454,248,2,f8000200f4acc1844e60b3440000f800c01e74ce
817,1789484859.4333937,46760.2653204,249,0,f90000002a6c52084eb432067f14050c5391b588
818,1789484859.434064,46760.2659906,249,1,f90001009a8dd7db0c318601b1dc9bb4ac7dc02f
819,1789484859.4348269,46760.2667535,249,2,f90002006c148c4e047b29120000f900ac7dc02f
820,1789484859.453325,46760.2852518,250,0,fa0000009663c0c4460c5e2ed03007a0d82565f9
821,1789484859.4540842,46760.2860112,250,1,fa00010017041f2f3787634a48f152acee8677cb
822,1789484859.454816,46760.2867429,250,2,fa000200f6470f431f11e95b0000fa00ee8677cb
823,1789484859.473348,46760.3052746,251,0,fb000000276c2ae41f0eb13f78440f50292602af
824,1789484859.4740512,46760.3059781,251,1,fb00010084e60f6db809778272ae1dad464cc1bd
825,1789484859.4747872,46760.3067142,251,2,fb000200d3845a49bb3be9fb0000fb00464cc1bd
826,1789484859.4933393,46760.3252661,252,0,fc000000a66c170453118d337e4622208c8ce103
827,1789484859.4940507,46760.3259776,252,1,fc0001006c23750d923a9fa1b62f8705f424cc8e
828,1789484859.4948225,46760.3267492,252,2,fc0002007090738665a110570000fc00f424cc8e
829,1789484859.513325,46760.3452517,253,0,fd000000aa6432d45964036e07b7410192250e15
830,1789484859.5140457,46760.3459724,253,1,fd0001001f88598193983f92f887518ed5c9f8ed
